position	rank	score	title	year	genre	mpaa	imdb
1767	1104	83.20000015	Seven Thieves	1960	Crime Drama	N/A	http://www.imdb.com/title/tt0043887/
1768	1105	83.20000009	Bulldog Drummond	1929	Action	N/A	http://www.imdb.com/title/tt0019735/
1769		83.20000008	I Am a Camera (British)	1955	Drama	N/A	http://www.imdb.com/title/tt0048188/
1770		83.20000006	The Bridal Path (Scottish)	1959	Comedy	N/A	http://www.imdb.com/title/tt0052649/
1771	1106	83.20000004	The Four Poster	1952	Drama	N/A	http://www.imdb.com/title/tt0044631/
1772	1107	83.00001201	The Family Man	2000	Fantasy	PG-13	http://www.imdb.com/title/tt0218967/
1773	1108	83.00000436	Marvin's Room	1996	Drama	PG-13	http://www.imdb.com/title/tt0116999/
1774		83.00000219	The Man Who Fell to Earth (British)	1976	Science Fiction	R	http://www.imdb.com/title/tt0074851/
1775	1109	83.00000144	Eating Raoul	1982	Comedy	R	http://www.imdb.com/title/tt0083869/
1776	1110	83.00000116	Houseboat	1958	Comedy	N/A	http://www.imdb.com/title/tt0051745/
1777	1111	83.00000089	Mogambo	1953	Drama	N/A	http://www.imdb.com/title/tt0046085/
1778		83.00000076	Time Regained (French)	1999	Drama	N/A	http://www.imdb.com/title/tt0189142/
1779	1112	83.00000053	The Prisoner of Second Avenue	1975	Comedy-Drama	PG	http://www.imdb.com/title/tt0072034/
1780	1113	83.00000041	$	1971	Crime Drama	R	http://www.imdb.com/title/tt0068152/
1781	1114	83.00000039	House Calls	1978	Comedy	PG	http://www.imdb.com/title/tt0077699/
1782	1115	83.00000033	Wild Rovers	1971	Western	PG	http://www.imdb.com/title/tt0067989/
1783	1116	83.00000027	Mary of Scotland	1936	Biography	N/A	http://www.imdb.com/title/tt0027948/
1784	1117	83.00000016	The General Died at Dawn	1936	Suspense	N/A	http://www.imdb.com/title/tt0027664/
1785	1118	83.00000015	Tight Spot	1955	Crime Drama	N/A	http://www.imdb.com/title/tt0048724/
1786	1119	83.00000015	Warning Shot	1967	Action	N/A	http://www.imdb.com/title/tt0062473/
